日期,交易类型,股票名称,最后持有股票数量,交易股票数量,交易价格,交易金额,交易成本,交易前股票数量,交易后股票数量,DCF价值,行业,估值比%,价值比描述,估值描述,价值过滤器,超买超卖过滤器,动量过滤器,价格成交量过滤器,满足维度数,actionDesc,收盘价,成交量,RSI指标,MACD DIF,MACD DEA,MACD HIST,boll_upper,boll_middle,量能倍数,行业RSI极端超买阈值,行业RSI极端超卖阈值,行业RSI超买阈值,行业RSI超卖阈值
2024-11-18,buy,云铝股份(000807),46100,0,0.0,0.0,0.0,,,25.0,有色金属,0.55,价值比0.55,"明显低估0.69, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,13.55,2506972.0,49.26,0.43,0.25,0.18,16.26,13.25,0.99,75.82,45.34,73.89,47.38
2024-11-18,buy,江西铜业(600362),55200,0,0.0,0.0,0.0,,,50.0,有色金属,0.43,价值比0.43,"极度低估0.54, 建议加仓比例:50%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,21.22,875101.0,45.77,-0.02,-0.06,0.04,24.84,21.57,0.59,75.82,45.34,73.89,47.38
2024-11-25,buy,中矿资源(002738),31300,0,0.0,0.0,0.0,,,100.0,能源金属,0.39,价值比0.39,"明显低估0.66, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,37.89,782843.0,62.38,1.42,0.26,1.16,40.2,31.38,0.51,71.46,41.31,68.0,44.52
2024-11-25,buy,云铝股份(000807),46100,0,0.0,0.0,0.0,,,25.0,有色金属,0.54,价值比0.54,"明显低估0.69, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,13.63,1426938.0,49.73,0.36,0.27,0.09,16.21,13.22,0.62,75.82,45.34,73.89,47.38
2024-12-02,buy,中矿资源(002738),31300,0,0.0,0.0,0.0,,,100.0,能源金属,0.38,价值比0.38,"明显低估0.66, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,38.22,953185.0,63.03,1.6,0.53,1.07,41.01,31.94,0.68,71.46,41.31,68.0,44.52
2024-12-09,buy,中矿资源(002738),31300,0,0.0,0.0,0.0,,,100.0,能源金属,0.38,价值比0.38,"明显低估0.66, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,39.28,731922.0,65.11,1.81,0.79,1.02,41.83,32.58,0.75,71.46,41.31,68.0,44.52
2024-12-09,buy,神火股份(000933),56900,0,0.0,0.0,0.0,,,36.0,有色金属,0.48,价值比0.48,"极度低估0.59, 建议加仓比例:50%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,17.34,2483597.0,48.15,-0.41,-0.45,0.03,20.51,16.89,1.24,75.82,45.34,73.89,47.38
2024-12-16,buy,中矿资源(002738),31300,0,0.0,0.0,0.0,,,100.0,能源金属,0.38,价值比0.38,"明显低估0.66, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,36.56,657987.0,56.35,1.73,0.98,0.76,42.01,33.1,0.84,71.46,41.31,68.0,44.52
2024-12-16,buy,云铝股份(000807),46100,0,0.0,0.0,0.0,,,25.0,有色金属,0.59,价值比0.59,"明显低估0.69, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,14.07,1766338.0,51.65,0.34,0.31,0.03,16.46,13.54,0.92,75.82,45.34,73.89,47.38
2024-12-23,buy,中矿资源(002738),31300,0,0.0,0.0,0.0,,,100.0,能源金属,0.36,价值比0.36,"明显低估0.66, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,36.7,437958.0,56.67,1.67,1.11,0.55,42.11,33.6,0.63,71.46,41.31,68.0,44.52
